Modèle,R2_val,RMSE_val,MAPE_val_%,R2_test,RMSE_test,MAPE_test_%,Meilleurs_params
Gradient Boosting,0.9845214729679651,1294.258046980213,1.8028334785799423,0.9768824360438915,1449.9356972660107,2.0832195733911223,"{'l2_regularization': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'max_iter': 600, 'min_samples_leaf': 10}"
Random Forest,0.9834472680838022,1338.415321522854,1.8066642170525917,0.9780373465347677,1413.2536408085791,2.0192817285797653,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
XGBoost,0.984821378368619,1281.6582176341733,1.847251615433135,0.9773820539929271,1434.1820738933104,2.0561746186108225,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 800, 'reg_alpha': 0, 'reg_lambda': 2.0, 'subsample': 0.8}"
MLP,0.9781840270191711,1536.5381669264043,2.240202162304216,0.9745273036175148,1522.0018066038233,2.4714664148047643,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (128, 64, 32), 'learning_rate_init': 0.01}"
Arbre de décision,0.9684635255141638,1847.4071897790225,2.3605005994936135,0.9573984336662391,1968.296371799884,2.7752929510606394,"{'max_depth': 20, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10}"
KNN,0.9509790714954526,2303.280471179366,3.234136588571438,0.950719505514806,2116.9725993225848,3.397537043349376,"{'metric': 'manhattan', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}"
